,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1,18,1,2025-04-19,IND,,MIL,W 117-98,1,28:37,8,13,0.615,1,3,0.333,7,10,0.700,0.654,0,0,,0,4,4,5,2,0,1,2,17,16.0,23
,2,19,2,2025-04-22,IND,,MIL,W 123-115,1,34:05,6,10,0.600,3,5,0.600,3,5,0.600,0.750,2,2,1.000,0,3,3,6,0,0,1,3,17,15.3,10
,3,20,3,2025-04-25,IND,@,MIL,L 101-117,1,30:13,2,8,0.250,0,1,0.000,2,7,0.286,0.250,2,2,1.000,0,1,1,5,1,0,0,2,6,5.2,-18
,4,21,4,2025-04-27,IND,@,MIL,W 129-103,1,31:12,8,14,0.571,4,8,0.500,4,6,0.667,0.714,0,0,,0,3,3,2,1,0,1,2,20,14.9,20
,5,22,5,2025-04-29,IND,,MIL,W 119-118 (OT),1,37:02,5,14,0.357,3,5,0.600,2,9,0.222,0.464,2,2,1.000,1,5,6,6,3,1,1,0,15,16.3,0
,6,23,6,2025-05-04,IND,@,CLE,W 121-112,1,37:04,7,10,0.700,5,6,0.833,2,4,0.500,0.950,4,4,1.000,0,0,0,6,0,0,0,1,23,22.6,21
,7,24,7,2025-05-06,IND,@,CLE,W 120-119,1,36:20,5,13,0.385,0,4,0.000,5,9,0.556,0.385,3,5,0.600,2,5,7,13,2,0,8,5,13,9.1,10
,8,25,8,2025-05-09,IND,,CLE,L 104-126,1,25:30,4,9,0.444,2,4,0.500,2,5,0.400,0.556,0,0,,0,4,4,4,1,1,3,4,10,6.4,-32
,9,26,9,2025-05-11,IND,,CLE,W 129-109,1,30:27,3,7,0.429,1,2,0.500,2,5,0.400,0.500,0,0,,2,1,3,7,3,0,0,1,7,12.5,22
,10,27,10,2025-05-13,IND,@,CLE,W 114-105,1,37:09,7,11,0.636,3,6,0.500,4,5,0.800,0.773,1,1,1.000,0,3,3,6,1,1,2,3,18,16.7,11
,11,28,11,2025-05-21,IND,@,NYK,W 138-135 (OT),1,35:02,6,10,0.600,2,3,0.667,4,7,0.571,0.700,1,2,0.500,2,2,4,4,0,0,3,5,15,9.8,1
,12,29,12,2025-05-23,IND,@,NYK,W 114-109,1,36:47,5,8,0.625,2,2,1.000,3,6,0.500,0.750,0,0,,0,3,3,2,1,0,0,2,12,10.9,0
,13,30,13,2025-05-25,IND,,NYK,L 100-106,1,38:19,2,9,0.222,0,3,0.000,2,6,0.333,0.222,5,6,0.833,0,4,4,3,1,0,0,2,9,6.6,-11
,14,31,14,2025-05-27,IND,,NYK,W 130-121,1,28:51,1,9,0.111,1,2,0.500,0,7,0.000,0.167,0,0,,0,2,2,3,1,0,1,4,3,-1.8,3
,15,32,15,2025-05-29,IND,@,NYK,L 94-111,1,27:13,3,8,0.375,0,1,0.000,3,7,0.429,0.375,0,0,,1,1,2,1,3,0,3,4,6,1.7,-25
,16,33,16,2025-05-31,IND,,NYK,W 125-108,1,37:27,6,12,0.500,2,5,0.400,4,7,0.571,0.583,0,0,,0,3,3,8,6,1,1,2,14,19.4,25
,17,34,17,2025-06-05,IND,@,OKC,W 111-110,1,32:24,4,11,0.364,2,6,0.333,2,5,0.400,0.455,4,5,0.800,1,3,4,6,0,0,2,3,14,10.1,11
,18,35,18,2025-06-08,IND,@,OKC,L 107-123,1,32:23,4,8,0.500,1,4,0.250,3,4,0.750,0.563,2,4,0.500,1,3,4,4,3,0,1,1,11,12.2,-17
,19,36,19,2025-06-11,IND,,OKC,W 116-107,1,33:25,3,5,.600,1,2,.500,2,3,.667,.700,1,2,.500,1,3,4,1,0,0,3,5,8,2.6,3
,20,37,20,2025-06-13,IND,,OKC,L 104-111,1,35:52,4,9,.444,2,4,.500,2,5,.400,.556,0,0,,0,2,2,2,2,1,4,4,10,4.4,3
, 21,38,21,2025-06-16,IND,@,OKC,L 109-120,1,35:36,3,8,.375,0,2,.000,3,6,.500,.375,1,1,1.000,2,1,3,3,1,0,4,3,7,2.2,-12