team,year,advanced_stats_source,has_sofascore_advanced,advanced_any_imputed,raw_last12mo_avg_possession,raw_last12mo_pass_completion_pct,raw_last12mo_set_piece_success_rate,raw_last12mo_shots_on_target_pct,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_imputed_last12mo_avg_possession,advanced_imputed_last12mo_pass_completion_pct,advanced_imputed_last12mo_set_piece_success_rate,advanced_imputed_last12mo_shots_on_target_pct,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,label
Brazil,2022,2022.0,True,False,56.0,88.187647654404,12.5,42.708333333333336,56.0,88.187647654404,12.5,42.708333333333336,False,False,False,False,,1.0,1.0,0.875,3.375,0.375,3.0,8.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,21.0,0.0,0
Belgium,2022,2022.0,True,False,57.333333333333,86.678004535147,0.0,25.714285714285715,57.333333333333,86.678004535147,0.0,25.714285714285715,False,False,False,False,,2.0,0.5,0.4444444444444444,1.8888888888888888,1.3333333333333333,0.5555555555555556,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0
Argentina,2022,2022.0,True,False,57.571428571429,86.074485311127,50.0,47.0,57.571428571429,86.074485311127,50.0,47.0,False,False,False,False,,3.0,0.3333333333333333,0.8888888888888888,2.888888888888889,0.2222222222222222,2.6666666666666665,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,17.0,0.0,1
France,2022,2022.0,True,False,51.428571428571,84.3083652269,50.0,37.25490196078432,51.428571428571,84.3083652269,50.0,37.25490196078432,False,False,False,False,,4.0,0.25,0.375,1.5,1.0,0.5,8.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,15.0,0.0,0
England,2022,2022.0,True,False,63.4,87.929894179894,33.333333333333336,46.03174603174603,63.4,87.929894179894,33.333333333333336,46.03174603174603,False,False,False,False,2050.0,5.0,0.2,0.25,1.125,1.375,-0.25,8.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0
Spain,2022,2022.0,True,False,76.25,91.170928667564,50.0,29.26829268292683,76.25,91.170928667564,50.0,29.26829268292683,False,False,False,False,,7.0,0.14285714285714285,0.6666666666666666,2.0,0.7777777777777778,1.2222222222222223,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0
Netherlands,2022,2022.0,True,False,52.8,84.204832311576,0.0,38.095238095238095,52.8,84.204832311576,0.0,38.095238095238095,False,False,False,False,,8.0,0.125,0.75,2.375,1.125,1.25,8.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10.0,0.0,0
Portugal,2022,2022.0,True,False,60.8,85.675025764342,50.0,39.39393939393939,60.8,85.675025764342,50.0,39.39393939393939,False,False,False,False,,9.0,0.1111111111111111,0.6666666666666666,2.2222222222222223,0.4444444444444444,1.7777777777777777,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
Denmark,2022,2022.0,True,True,60.333333333333,84.219362059317,,29.41176470588235,60.333333333333,84.219362059317,22.27564102564103,29.41176470588235,False,False,True,False,,10.0,0.1,0.625,1.75,1.125,0.625,8.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Germany,2022,2022.0,True,False,59.333333333333,87.246852764094,50.0,34.78260869565217,59.333333333333,87.246852764094,50.0,34.78260869565217,False,False,False,False,,11.0,0.09090909090909091,0.3333333333333333,1.6666666666666667,1.1111111111111112,0.5555555555555556,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,19.0,0.0,0
Croatia,2022,2022.0,True,False,54.714285714286,85.645472061657,0.0,34.177215189873415,54.714285714286,85.645472061657,0.0,34.177215189873415,False,False,False,False,,12.0,0.08333333333333333,0.6666666666666666,1.3333333333333333,0.8888888888888888,0.4444444444444444,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0
Mexico,2022,2022.0,True,False,54.333333333333,78.799688230709,16.666666666666668,39.02439024390244,54.333333333333,78.799688230709,16.666666666666668,39.02439024390244,False,False,False,False,,13.0,0.07692307692307693,0.4444444444444444,1.2222222222222223,0.7777777777777778,0.4444444444444444,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0
Uruguay,2022,2022.0,True,False,48.333333333333,76.954397394137,0.0,33.333333333333336,48.333333333333,76.954397394137,0.0,33.333333333333336,False,False,False,False,,14.0,0.07142857142857142,0.7777777777777778,2.0,0.2222222222222222,1.7777777777777777,9.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,13.0,0.0,0
Switzerland,2022,2022.0,True,False,48.75,82.517114270669,0.0,35.13513513513514,48.75,82.517114270669,0.0,35.13513513513514,False,False,False,False,,15.0,0.06666666666666667,0.3333333333333333,0.8888888888888888,1.5555555555555556,-0.6666666666666666,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0
United States,2022,2022.0,True,False,53.0,84.539635647464,0.0,33.333333333333336,53.0,84.539635647464,0.0,33.333333333333336,False,False,False,False,,16.0,0.0625,0.46153846153846156,1.4615384615384615,0.6153846153846154,0.8461538461538461,13.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
Senegal,2022,2022.0,True,False,45.0,79.829172141919,33.333333333333336,25.0,45.0,79.829172141919,33.333333333333336,25.0,False,False,False,False,,18.0,0.05555555555555555,0.5,1.375,0.6875,0.6875,16.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
Wales,2022,2022.0,True,False,46.0,77.453365774534,50.0,29.166666666666668,46.0,77.453365774534,50.0,29.166666666666668,False,False,False,False,1439.0,19.0,0.05263157894736842,0.2222222222222222,1.1111111111111112,1.4444444444444444,-0.3333333333333333,9.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Serbia,2022,2022.0,True,True,51.333333333333,79.912663755459,,28.125,51.333333333333,79.912663755459,22.27564102564103,28.125,False,False,True,False,,21.0,0.047619047619047616,0.6666666666666666,2.111111111111111,1.0,1.1111111111111112,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
Morocco,2022,2022.0,True,False,38.428571428571,80.671951679879,0.0,29.50819672131147,38.428571428571,80.671951679879,0.0,29.50819672131147,False,False,False,False,,22.0,0.045454545454545456,0.6470588235294118,1.9411764705882353,0.7647058823529411,1.1764705882352942,17.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Japan,2022,2022.0,True,False,35.75,77.465667915106,0.0,31.818181818181817,35.75,77.465667915106,0.0,31.818181818181817,False,False,False,False,,24.0,0.041666666666666664,0.5714285714285714,1.9285714285714286,0.6428571428571429,1.2857142857142858,14.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0
Poland,2022,2022.0,True,False,36.75,77.410071942446,33.333333333333336,25.806451612903224,36.75,77.410071942446,33.333333333333336,25.806451612903224,False,False,False,False,,26.0,0.038461538461538464,0.4444444444444444,1.1111111111111112,1.4444444444444444,-0.3333333333333333,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0
South Korea,2022,2022.0,True,False,48.25,82.960131075915,0.0,38.0,48.25,82.960131075915,0.0,38.0,False,False,False,False,,28.0,0.03571428571428571,0.6875,2.0625,0.9375,1.125,16.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0
Tunisia,2022,2022.0,True,True,43.666666666667,76.162299239222,,25.0,43.666666666667,76.162299239222,22.27564102564103,25.0,False,False,True,False,,30.0,0.03333333333333333,0.6,1.4,0.7,0.7,20.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Costa Rica,2022,2022.0,True,True,31.0,76.237623762376,,58.333333333333336,31.0,76.237623762376,22.27564102564103,58.333333333333336,False,False,True,False,,31.0,0.03225806451612903,0.75,1.3333333333333333,0.5,0.8333333333333334,12.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Australia,2022,2022.0,True,True,37.5,75.882352941176,,30.76923076923077,37.5,75.882352941176,22.27564102564103,30.76923076923077,False,False,True,False,,38.0,0.02631578947368421,0.5555555555555556,1.4444444444444444,0.7777777777777778,0.6666666666666666,9.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Canada,2022,2022.0,True,False,52.333333333333,84.491228070175,0.0,14.285714285714286,52.333333333333,84.491228070175,0.0,14.285714285714286,False,False,False,False,,41.0,0.024390243902439025,0.5833333333333334,1.75,0.75,1.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Cameroon,2022,2022.0,True,False,41.666666666667,78.975265017668,0.0,57.142857142857146,41.666666666667,78.975265017668,0.0,57.142857142857146,False,False,False,False,,43.0,0.023255813953488372,0.42857142857142855,1.3571428571428572,1.0,0.35714285714285715,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
Ecuador,2022,2022.0,True,False,53.333333333333,80.720180045011,50.0,36.666666666666664,53.333333333333,80.720180045011,50.0,36.666666666666664,False,False,False,False,,44.0,0.022727272727272728,0.18181818181818182,0.6363636363636364,0.6363636363636364,0.0,11.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
Qatar,2022,2022.0,True,True,43.0,81.332300542215,,30.0,43.0,81.332300542215,22.27564102564103,30.0,False,False,True,False,,50.0,0.02,0.6428571428571429,1.5714285714285714,0.6428571428571429,0.9285714285714286,14.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saudi Arabia,2022,2022.0,True,False,44.666666666667,73.669724770642,0.0,31.03448275862069,44.666666666667,73.669724770642,0.0,31.03448275862069,False,False,False,False,,51.0,0.0196078431372549,0.23529411764705882,0.47058823529411764,0.6470588235294118,-0.17647058823529413,17.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0
Ghana,2022,2022.0,True,False,42.0,80.158033362599,0.0,38.46153846153846,42.0,80.158033362599,0.0,38.46153846153846,False,False,False,False,,61.0,0.01639344262295082,0.23076923076923078,0.9230769230769231,1.3076923076923077,-0.38461538461538464,13.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
Iran,2022,2022.0,True,False,36.333333333333,71.501532175689,100.0,30.303030303030305,36.333333333333,71.501532175689,100.0,30.303030303030305,False,False,False,False,,,,0.5555555555555556,0.8888888888888888,0.7777777777777778,0.1111111111111111,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
